tags,val/llrmse_climax,test/ssp245_NorESM2-LM/pr/llrmse_climax,test/ssp245_NorESM2-LM/tas/llrmse_climax,test/ssp245_NorESM2-LM/llrmse_climax,test/ssp245_NorESM2-LM/pr/mse,test/ssp245_NorESM2-LM/tas/mse,test/ssp245_NorESM2-LM/mse,test/ssp245_NorESM2-LM/pr/rmse,test/ssp245_NorESM2-LM/tas/rmse,test/ssp245_NorESM2-LM/rmse,test/ssp245_NorESM2-LM/pr/llrmse_wheather_bench,test/ssp245_NorESM2-LM/tas/llrmse_wheather_bench,test/ssp245_NorESM2-LM/llrmse_wheather_bench
"['NorESM2-LM_AWI-CM-1-1-MR', 'conv_lstm', 'finetuning_emulator', 'run2', 'tas+pr']",2.6260197684746467e-05,0.00023536725172090917,0.00021501700298256194,1.7551550092114951e-06,0.00016475309623631968,0.00015494115660103275,0.00031951755942646924,0.0004033058279372153,0.0003989516720578953,0.0008018136425411387,0.00039756134820431336,0.00040266458659732,0.0007998390913817496
"['NorESM2-LM_AWI-CM-1-1-MR', 'finetuning_emulator', 'run2', 'tas+pr', 'unet']",1.0619980307036276e-05,0.0008130158130324582,0.0020246846280862537,5.981371456838915e-06,0.0006385373239460474,0.0007908756937654617,0.0006560721869838876,0.0010430643992817245,0.0013793224915805747,0.0011285789245819534,0.0012130643802322908,0.0018861964023060916,0.0023777767664424415
"['NorESM2-LM_BCC-CSM2-MR', 'conv_lstm', 'finetuning_emulator', 'run2', 'tas+pr']",3.159942200465477e-05,8.451489286909947e-05,4.672852983910205e-05,4.985726534004497e-07,3.2358469677752505e-05,2.0199064485625472e-05,5.083328866131243e-05,5.828532771338164e-05,3.8035999375841736e-05,9.312749055742781e-05,4.490416239804505e-05,2.080638808858527e-05,4.3556231812694536e-05
"['NorESM2-LM_BCC-CSM2-MR', 'finetuning_emulator', 'run2', 'tas+pr', 'unet']",2.0421028384359563e-05,0.007239628136677248,0.004852954830818755,4.719134559507399e-05,0.003941777282155937,0.0025939215423117735,0.00651233257010765,0.005936139140070001,0.004176792437580592,0.010075331517293482,0.004813375860280248,0.0032359148648719006,0.008045224624095801
"['NorESM2-LM_EC-Earth3', 'finetuning_emulator', 'run2', 'tas+pr', 'unet']",0.00030157145527726005,0.009097609998427118,0.011040203719138691,7.865650915366523e-05,0.006724394924921092,0.0076582121163564455,0.014382072746437373,0.011115957874632222,0.013337856623261337,0.024453097412046557,0.005538902459989252,0.0074574511638032265,0.012983042124670961
"['NorESM2-LM_FGOALS-f3-L', 'conv_lstm', 'finetuning_emulator', 'run2', 'tas+pr']",3.0288347904442263e-05,0.001032754341554869,0.0009743757522085448,7.839316627255248e-06,0.00047013962084540705,0.0004039574164347368,0.0008739824742267411,0.0009870783899489776,0.0008938036479411701,0.0018806356813514205,0.0007922854549784877,0.0007148411738580496,0.0015066443927915318
"['NorESM2-LM_FGOALS-f3-L', 'finetuning_emulator', 'run2', 'tas+pr', 'unet']",7.794338697610267e-05,0.0043436425286394005,0.004424808282089987,3.4193405014440506e-05,0.0030270344864587752,0.003054972294622585,0.006081788808558044,0.005222334244564453,0.005633184888643849,0.010855146139358706,0.006626645084373493,0.006417912161068622,0.013044187039517883
"['NorESM2-LM_MPI-ESM1-2-HR', 'conv_lstm', 'finetuning_emulator', 'run2', 'tas+pr']",2.9683899390232042e-05,0.00022212568594130977,0.00019650589886496884,1.633744780280219e-06,0.00019104162188595222,0.00018371789859538703,0.0003747577191743954,0.0004477038588521142,0.0004518358620564393,0.0008995353505090883,0.0004133013594628811,0.0004300182357320168,0.0008433129587857052
"['NorESM2-LM_MPI-ESM1-2-HR', 'finetuning_emulator', 'run2', 'tas+pr', 'unet']",1.4529535991579219e-05,0.017216438998101442,0.015458161791005677,0.00012749734402873813,0.00885246107027606,0.0075436423622055795,0.016389576102940506,0.016147545060394564,0.014589746151665738,0.03072371655652711,0.014704541409801425,0.013495351691264541,0.02818942432853417
