,name,id,tags,val/llmse_climax,dirs/ckpt_dir
234,MRI-ESM2-0_unet_tas_run-01UNet_adam_4bs_0.0002lr_1e-06wd_7seed_17h19m_on_Jun_09_p3k22zcj,p3k22zcj,"['MRI-ESM2-0', 'deprecated', 'run1', 'single_emulator', 'tas+pr', 'unet']",0.06658536703149837,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
236,CAS-ESM2-0_conv_lstm_tas_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_22201seed_17h16m_on_Jun_09_pa0arfv5,pa0arfv5,"['CAS-ESM2-0', 'conv_lstm', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.27783974227447716,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
239,CNRM-CM6-1-HR_conv_lstm_tas_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_7seed_17h04m_on_Jun_09_pgl5ei6w,pgl5ei6w,"['CNRM-CM6-1-HR', 'conv_lstm', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.22311006603103725,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
243,EC-Earth3-Veg-LR_conv_lstm_tas_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_7seed_16h58m_on_Jun_09_3pzpqbit,3pzpqbit,"['EC-Earth3-Veg-LR', 'conv_lstm', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.25483141047579694,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
255,NorESM2-MM_unet_tas_run-01UNet_adam_4bs_0.0002lr_1e-06wd_3423seed_16h39m_on_Jun_09_tsv95e3q,tsv95e3q,"['NorESM2-MM', 'deprecated', 'run1', 'single_emulator', 'tas+pr', 'unet']",0.05762847597442018,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
247,GFDL-ESM4_conv_lstm_tas_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_7seed_16h52m_on_Jun_09_kab86u7b,kab86u7b,"['GFDL-ESM4', 'conv_lstm', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.32595439527116005,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
251,INM-CM4-8_conv_lstm_tas_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_7seed_16h46m_on_Jun_09_nfwubh25,nfwubh25,"['INM-CM4-8', 'conv_lstm', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.20477780127359752,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
256,MRI-ESM2-0_conv_lstm_tas_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_22201seed_16h38m_on_Jun_09_p74smjam,p74smjam,"['MRI-ESM2-0', 'conv_lstm', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.20157305993385785,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
258,NorESM2-MM_conv_lstm_tas_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_7seed_16h33m_on_Jun_09_kqxraj8r,kqxraj8r,"['NorESM2-MM', 'conv_lstm', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.16213268759251712,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
261,INM-CM5-0_conv_lstm_tas_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_7seed_16h19m_on_Jun_09_t964tfmd,t964tfmd,"['INM-CM5-0', 'conv_lstm', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.20110343923226984,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
