,name,id,tags,val/llmse_climax,dirs/ckpt_dir
105,NorESM2-LM_MPI-ESM1-2-HR_unet_tas+pr_run-01UNet_adam_4bs_0.0002lr_1e-06wd_7seed_11h39m_on_Jun_12_au8hu08o,au8hu08o,"['NorESM2-LM_MPI-ESM1-2-HR', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr', 'unet']",0.06021460148234308,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
109,NorESM2-LM_EC-Earth3_unet_tas+pr_run-01UNet_adam_4bs_0.0002lr_1e-06wd_22201seed_11h09m_on_Jun_12_y42j2j79,y42j2j79,"['NorESM2-LM_EC-Earth3', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr', 'unet']",0.05672425576797529,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
111,NorESM2-LM_FGOALS-f3-L_conv_lstm_tas+pr_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_22201seed_11h05m_on_Jun_12_vsbwosqq,vsbwosqq,"['NorESM2-LM_FGOALS-f3-L', 'conv_lstm', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr']",0.14373589894037733,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
115,NorESM2-LM_BCC-CSM2-MR_conv_lstm_tas+pr_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_22201seed_11h00m_on_Jun_12_8ecxo7xs,8ecxo7xs,"['NorESM2-LM_BCC-CSM2-MR', 'conv_lstm', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr']",0.1437359028989126,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
118,NorESM2-LM_MPI-ESM1-2-HR_conv_lstm_tas+pr_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_22201seed_10h55m_on_Jun_12_g5fygkld,g5fygkld,"['NorESM2-LM_MPI-ESM1-2-HR', 'conv_lstm', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr']",0.1437359029987893,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
124,NorESM2-LM_AWI-CM-1-1-MR_unet_tas+pr_run-01UNet_adam_4bs_0.0002lr_1e-06wd_22201seed_10h48m_on_Jun_12_pv3707uy,pv3707uy,"['NorESM2-LM_AWI-CM-1-1-MR', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr', 'unet']",0.05717766353451892,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
122,NorESM2-LM_EC-Earth3_conv_lstm_tas+pr_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_22201seed_10h51m_on_Jun_12_shc3p5av,shc3p5av,"['NorESM2-LM_EC-Earth3', 'conv_lstm', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr']",0.14373590202802744,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
126,NorESM2-LM_AWI-CM-1-1-MR_conv_lstm_tas+pr_run-01CNNLSTM_ClimateBench_adam_4bs_0.0002lr_1e-06wd_22201seed_10h45m_on_Jun_12_kib2j53y,kib2j53y,"['NorESM2-LM_AWI-CM-1-1-MR', 'conv_lstm', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr']",0.14373590124656732,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
129,CAS-ESM2-0_climax_frozen_tas_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_08h22m_on_Jun_11_86s7281h,86s7281h,"['CAS-ESM2-0', 'climax_frozen', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.07239338808683943,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
134,CNRM-CM6-1-HR_climax_frozen_tas_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_07h37m_on_Jun_11_datjvjez,datjvjez,"['CNRM-CM6-1-HR', 'climax_frozen', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.0959597605415031,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
135,EC-Earth3-Veg-LR_climax_frozen_tas_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_07h28m_on_Jun_11_fb2evwyf,fb2evwyf,"['EC-Earth3-Veg-LR', 'climax_frozen', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.09884101919755096,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
140,GFDL-ESM4_climax_frozen_tas_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_06h43m_on_Jun_11_pauu35qg,pauu35qg,"['GFDL-ESM4', 'climax_frozen', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.14827544945701882,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
141,INM-CM4-8_climax_frozen_tas_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_06h35m_on_Jun_11_pjk75vs7,pjk75vs7,"['INM-CM4-8', 'climax_frozen', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.06760912865928917,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
145,MRI-ESM2-0_climax_frozen_tas_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_05h59m_on_Jun_11_sk9umum5,sk9umum5,"['MRI-ESM2-0', 'climax_frozen', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.06621525840623216,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
147,NorESM2-MM_climax_frozen_tas_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_05h41m_on_Jun_11_x1gg7ibd,x1gg7ibd,"['NorESM2-MM', 'climax_frozen', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.06716710583354456,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
150,INM-CM5-0_climax_frozen_tas_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_05h15m_on_Jun_11_f24os4b1,f24os4b1,"['INM-CM5-0', 'climax_frozen', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.0675314609785803,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
153,TaiESM1_climax_frozen_tas_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_04h48m_on_Jun_11_5gmafi4u,5gmafi4u,"['TaiESM1', 'climax_frozen', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.06210970485261236,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
156,MPI-ESM1-2-HR_climax_frozen_tas_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_04h22m_on_Jun_11_y1r8p5ts,y1r8p5ts,"['MPI-ESM1-2-HR', 'climax_frozen', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.07325334030487896,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
161,NorESM2-LM_climax_frozen_tas_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_03h38m_on_Jun_11_uh63hy12,uh63hy12,"['NorESM2-LM', 'climax_frozen', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.06707234969370948,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
163,BCC-CSM2-MR_climax_frozen_tas_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_03h21m_on_Jun_11_fivoyxp4,fivoyxp4,"['BCC-CSM2-MR', 'climax_frozen', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.06792649968169032,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
165,EC-Earth3_climax_frozen_tas_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_03h04m_on_Jun_11_rb4vggbe,rb4vggbe,"['EC-Earth3', 'climax_frozen', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.0922492105538992,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
169,FGOALS-f3-L_climax_frozen_tas_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_02h30m_on_Jun_11_u4ias2ci,u4ias2ci,"['FGOALS-f3-L', 'climax_frozen', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.10242970954970688,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
171,AWI-CM-1-1-MR_climax_frozen_tas_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_02h12m_on_Jun_11_og4gem5k,og4gem5k,"['AWI-CM-1-1-MR', 'climax_frozen', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.0974319096074083,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
176,CAS-ESM2-0_climax_tas_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_08h31m_on_Jun_10_laln8480,laln8480,"['CAS-ESM2-0', 'climax', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.0689388032336921,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
179,CNRM-CM6-1-HR_climax_tas_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_07h14m_on_Jun_10_ppa77lqt,ppa77lqt,"['CNRM-CM6-1-HR', 'climax', 'deprecated', 'run1', 'single_emulator', 'tas+pr']",0.0933363238391845,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
