,name,id,tags,val/llmse_climax,checkpoint_path
154,TaiESM1_unet_tas_run-02UNet_adam_4bs_0.0002lr_1e-06wd_7seed_20h35m_on_Jan_09_6wrc3qkt,6wrc3qkt,"['TaiESM1', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.0825026904326333,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/6wrc3qkt/checkpoints/epoch=49-step=2950.ckpt
158,NorESM2-MM_unet_tas_run-02UNet_adam_4bs_0.0002lr_1e-06wd_3423seed_20h04m_on_Jan_09_a4x5sbac,a4x5sbac,"['NorESM2-MM', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.07956807455616793,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/a4x5sbac/checkpoints/epoch=49-step=2950.ckpt
160,MRI-ESM2-0_unet_tas_run-02UNet_adam_4bs_0.0002lr_1e-06wd_22201seed_19h52m_on_Jan_09_k3wkisrk,k3wkisrk,"['MRI-ESM2-0', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.08587329239870128,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/k3wkisrk/checkpoints/epoch=49-step=2950.ckpt
163,MPI-ESM1-2-HR_unet_tas_run-02UNet_adam_4bs_0.0002lr_1e-06wd_22201seed_19h33m_on_Jan_09_f54ywd24,f54ywd24,"['MPI-ESM1-2-HR', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.09513779144025628,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/f54ywd24/checkpoints/epoch=49-step=2950.ckpt
167,INM-CM5-0_unet_tas_run-02UNet_adam_4bs_0.0002lr_1e-06wd_3423seed_19h09m_on_Jan_09_u9d6pszd,u9d6pszd,"['INM-CM5-0', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.08026869389183142,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/u9d6pszd/checkpoints/epoch=49-step=2950.ckpt
168,INM-CM4-8_unet_tas_run-02UNet_adam_4bs_0.0002lr_1e-06wd_7seed_19h02m_on_Jan_09_084ogwuc,084ogwuc,"['INM-CM4-8', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.0764465229907883,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/084ogwuc/checkpoints/epoch=49-step=2950.ckpt
172,GFDL-ESM4_unet_tas_run-02UNet_adam_4bs_0.0002lr_1e-06wd_22201seed_18h38m_on_Jan_09_g4o6y4ta,g4o6y4ta,"['GFDL-ESM4', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.2133190137715047,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/g4o6y4ta/checkpoints/epoch=49-step=2950.ckpt
175,FGOALS-f3-L_unet_tas_run-02UNet_adam_4bs_0.0002lr_1e-06wd_22201seed_18h19m_on_Jan_09_nky0dw5f,nky0dw5f,"['FGOALS-f3-L', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.12156895460695412,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/nky0dw5f/checkpoints/epoch=49-step=2950.ckpt
179,EC-Earth3-Veg-LR_unet_tas_run-02UNet_adam_4bs_0.0002lr_1e-06wd_3423seed_17h54m_on_Jan_09_z0aa29nr,z0aa29nr,"['EC-Earth3-Veg-LR', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.11327065530797883,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/z0aa29nr/checkpoints/epoch=49-step=2950.ckpt
180,EC-Earth3_unet_tas_run-02UNet_adam_4bs_0.0002lr_1e-06wd_7seed_17h48m_on_Jan_09_c18ysodr,c18ysodr,"['EC-Earth3', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.11181131743179744,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/c18ysodr/checkpoints/epoch=49-step=2950.ckpt
