variable_id,description,table_id(s)
gpp,Carbon Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kg m-2 s-1],"E3hr, Lmon"
gppGrass,Gross Primary Production on Grass Tiles [kg m-2 s-1],Emon
gppLut,Gross Primary Productivity on Land-Use Tile [kg m-2 s-1],Emon
gppShrub,Gross Primary Production on Shrub Tiles [kg m-2 s-1],Emon
gppTree,Gross Primary Production on Tree Tiles [kg m-2 s-1],Emon
grassFracC3,C3 Grass Area Percentage [%],Emon
grassFracC4,C4 Grass Area Percentage [%],Emon
grassFrac,Natural Grass Area Percentage [%],Lmon
graz,Total Grazing of Phytoplankton by Zooplankton [mol m-3 s-1],"Omon, Oyr"
h2o,Mass Fraction of Water [1],"AERmon, AERmonZ"
hcfc22global,Global Mean Mole Fraction of HCFC22 [1e-12],Amon
hcho,Formaldehyde Volume Mixing Ratio [mol mol-1],AERmon
hcl,HCl Volume Mixing Ratio [mol mol-1],"AERmon, AERmonZ"
hfbasin,Northward Ocean Heat Transport [W],"Odec, Omon"
hfbasinpadv,Northward Ocean Heat Transport Due to Parameterized Eddy Advection [W],Omon
hfbasinpmadv,Northward Ocean Heat Transport Due to Parameterized Mesoscale Advection [W],Omon
hfbasinpmdiff,Northward Ocean Heat Transport Due to Parameterized Mesoscale Diffusion [W],Omon
hfbasinpsmadv,Northward Ocean Heat Transport Due to Parameterized Submesoscale Advection [W],Omon
hfcorr,Heat Flux Correction [W m-2],Omon
hfds,Downward Heat Flux at Sea Water Surface [W m-2],"Odec, Omon"
hfdsn,Downward Heat Flux into Snow Where Land over Land [W m-2],"Eday, LImon"
hfevapds,Temperature Flux Due to Evaporation Expressed as Heat Flux out of Sea Water [W m-2],Omon
hfgeoubed,Geothermal Heat Flux Beneath Land Ice [W m-2],IfxGre
hfgeou,Upward Geothermal Heat Flux at Sea Floor [W m-2],Omon
hfibthermds,Heat Flux into Sea Water Due to Iceberg Thermodynamics [W m-2],Omon
hflsIs,Ice Sheet Surface Upward Latent Heat Flux [W m-2],LImon
hflsLut,Latent Heat Flux on Land-Use Tile [W m-2],Emon
hflso,Surface Downward Latent Heat Flux [W m-2],Omon
hfls,Surface Upward Latent Heat Flux [W m-2],"3hr, Amon, CF3hr, CFsubhr, ImonAnt, ImonGre, day"
hfrainds,Temperature Flux Due to Rainfall Expressed as Heat Flux into Sea Water [W m-2],Omon
hfrunoffds,Temperature Flux Due to Runoff Expressed as Heat Flux into Sea Water [W m-2],Omon
hfsifrazil,Heat Flux into Sea Water Due to Frazil Ice Formation [W m-2],Omon
hfsnthermds,Heat Flux into Sea Water Due to Snow Thermodynamics [W m-2],Omon
hfssIs,Ice Sheet Surface Upward Sensible Heat Flux [W m-2],LImon
hfssLut,Sensible Heat Flux on Land-Use Tile [W m-2],Emon
hfsso,Surface Downward Sensible Heat Flux [W m-2],Omon
hfss,Surface Upward Sensible Heat Flux [W m-2],"3hr, Amon, CF3hr, CFsubhr, ImonAnt, ImonGre, day"
hfx,Ocean Heat X Transport [W],Omon
hfy,Ocean Heat Y Transport [W],Omon
hno3,HNO3 Volume Mixing Ratio [mol mol-1],"AERmon, AERmonZ"
ho2,HO2 Volume Mixing Ratio [mol mol-1],AERmonZ
htovgyre,Northward Ocean Heat Transport Due to Gyre [W],Omon
htovovrt,Northward Ocean Heat Transport Due to Overturning [W],Omon
hur,Relative Humidity [%],"Amon, CFday, CFmon, CFsubhr, day"
hursmax,Daily Maximum Near-Surface Relative Humidity [%],day
hursmin,Daily Minimum Near-Surface Relative Humidity [%],day
hurs,Near-Surface Relative Humidity [%],"6hrPlev, Amon, CF3hr, CFsubhr, day"
hussLut,Near-Surface Specific Humidity on Land-Use Tile [1],Emon
huss,Near-Surface Specific Humidity [1],"3hr, 6hrPlevPt, Amon, CFsubhr, day"
hus,Specific Humidity [1],"6hrLev, 6hrPlev, 6hrPlevPt, Amon, CFday, CFmon, CFsubhr, Eday, EdayZ, Emon, day"
icemIs,Ice Sheet Surface Ice Melt Flux [kg m-2 s-1],LImon
icem,Surface Ice Melt Flux [kg m-2 s-1],"ImonAnt, ImonGre"
icfriver,Flux of Inorganic Carbon into Ocean Surface by Runoff [mol m-2 s-1],Omon
intdic,Dissolved Inorganic Carbon Content [kg m-2],Omon
intdoc,Dissolved Organic Carbon Content [kg m-2],Omon
intparag,Aragonite Production [mol m-2 s-1],Omon
intpbfe,Iron Production [mol m-2 s-1],Omon
intpbn,Nitrogen Production [mol m-2 s-1],Omon
intpbp,Phosphorus Production [mol m-2 s-1],Omon
intpbsi,Silicon Production [mol m-2 s-1],Omon
intpcalcite,Calcite Production [mol m-2 s-1],Omon
intpn2,Nitrogen Fixation Rate in Ocean [mol m-2 s-1],Omon
intpoc,Particulate Organic Carbon Content [kg m-2],Omon
intppcalc,Net Primary Mole Productivity of Carbon by Calcareous Phytoplankton [mol m-2 s-1],Omon
intppdiat,Net Primary Organic Carbon Production by Diatoms [mol m-2 s-1],Omon
intppdiaz,Net Primary Mole Productivity of Carbon by Diazotrophs [mol m-2 s-1],Omon
intppmisc,Net Primary Organic Carbon Production by Other Phytoplankton [mol m-2 s-1],Omon
intppnitrate,Primary Organic Carbon Production by Phytoplankton Based on Nitrate Uptake Alone [mol m-2 s-1],Omon
intpppico,Net Primary Mole Productivity of Carbon by Picophytoplankton [mol m-2 s-1],Omon
intpp,Primary Organic Carbon Production by All Types of Phytoplankton [mol m-2 s-1],Omon
intuadse,Vertically Integrated Eastward Dry Statice Energy Transport [MJ m-1 s-1],Emon
intuaw,Vertically Integrated Eastward Moisture Transport [kg m-1 s-1],Emon
intvadse,Vertically Integrated Northward Dry Static Energy Transport [MJ m-1 s-1],Emon
intvaw,Vertically Integrated Northward Moisture Transport [kg m-1 s-1],Emon
irrLut,"Irrigation Flux Including any Irrigation for Crops, Trees, Pasture, or Urban Lawns [kg m-2 s-1]",Emon
isop,Isoprene Volume Mixing Ratio [mol mol-1],AERmon
jno2,Photolysis Rate of NO2 [s-1],AERmon
jo2,Photolysis Rate of Diatomic Molecular Oxygen [s-1],EmonZ
jo3,Photolysis Rate of Ozone (O3) [s-1],EmonZ
jpdftaureicemodis,"MODIS Joint Distribution of Optical Thickness and Particle Size, Ice [%]",Emon
jpdftaureliqmodis,"MODIS Optical Thickness-Particle Size Joint Distribution, Liquid [%]","E3hrPt, Emon"
ksat,Saturated Hydraulic Conductivity [micron s-1],Efx
lai,Leaf Area Index [1],"Eday, Lmon"
laiLut,Leaf Area Index on Land-Use Tile [1],Emon
landCoverFrac,Percentage of Area by Vegetation or Land-Cover Category [%],Lmon
limfecalc,Iron Limitation of Calcareous Phytoplankton [1],Omon
limfediat,Iron Limitation of Diatoms [1],Omon
limfediaz,Iron Limitation of Diazotrophs [1],Omon
limfemisc,Iron Limitation of Other Phytoplankton [1],Omon
limfepico,Iron Limitation of Picophytoplankton [1],Omon
limirrcalc,Irradiance Limitation of Calcareous Phytoplankton [1],Omon
limirrdiat,Irradiance Limitation of Diatoms [1],Omon
limirrdiaz,Irradiance Limitation of Diazotrophs [1],Omon
limirrmisc,Irradiance Limitation of Other Phytoplankton [1],Omon
limirrpico,Irradiance Limitation of Picophytoplankton [1],Omon
limncalc,Nitrogen Limitation of Calcareous Phytoplankton [1],Omon
limndiat,Nitrogen Limitation of Diatoms [1],Omon
limndiaz,Nitrogen Limitation of Diazotrophs [1],Omon
limnmisc,Nitrogen Limitation of Other Phytoplankton [1],Omon
limnpico,Nitrogen Limitation of Picophytoplankton [1],Omon
litemptopIs,Ice Sheet Temperature at Top of Ice Sheet Model [K],LImon
litemptop,Temperature at Top of Ice Sheet Model [K],"ImonAnt, ImonGre"
lithk,Ice Sheet Thickness [m],IfxGre
loaddust,Load of Dust [kg m-2],"Eday, Emon"
loadno3,Load of NO3 [kg m-2],Eday
loadoa,Load of Dry Aerosol Organic Matter [kg m-2],Eday
loadpoa,Load of Dry Aerosol Primary Organic Matter [kg m-2],Eday
loadso4,Load of SO4 [kg m-2],"Eday, Emon"
loadsoa,Load of Dry Aerosol Secondary Organic Matter [kg m-2],Eday
loadss,Load of Sea-Salt Aerosol [kg m-2],Emon
lossch4,Monthly Loss of Atmospheric Methane [mol m-3 s-1],AERmon
lossco,Monthly Loss of Atmospheric Carbon Monoxide [mol m-3 s-1],AERmon
lossn2o,Monthly Loss of Atmospheric Nitrous Oxide [mol m-3 s-1],AERmon
lwp,Liquid Water Path [kg m-2],AERmon
lwsffluxaero,Longwave flux due to volcanic aerosols at the surface [W m-2],6hrPlevPt
lwsnl,Liquid Water Content of Snow Layer [kg m-2],"Eday, LImon"
lwtoacsaer,TOA Clear-Sky longwave Radiative Forcing due to Aerosols [W m-2],Emon
lwtoafluxaerocs,TOA Outgoing Clear-Sky Longwave Flux Due to Volcanic Aerosols [W m-2],6hrPlevPt
masscello,Ocean Grid-Cell Mass per Area [kg m-2],Omon
masso,Sea Water Mass [kg],"Odec, Omon"
maxpblz,Maximum PBL Height [m],AERday
mc,Convective Mass Flux [kg m-2 s-1],"Amon, CFday, CFsubhr"
mcu,Convective Updraft Mass Flux [kg m-2 s-1],CFmon
meanage,Mean Age of Stratospheric Air [yr],AERmonZ
mfo,Sea Water Transport [kg s-1],Omon
minpblz,Minimum PBL Height [m],AERday
mlotstmax,Maximum Ocean Mixed Layer Thickness Defined by Sigma T [m],Omon
mlotstmin,Minimum Ocean Mixed Layer Thickness Defined by Sigma T [m],Omon
mlotst,Ocean Mixed Layer Thickness Defined by Sigma T [m],Omon
mlotstsq,Square of Ocean Mixed Layer Thickness Defined by Sigma T [m2],Omon
mmraerh2o,Aerosol Water Mass Mixing Ratio [kg kg-1],AERmon
mmrbc,Elemental Carbon Mass Mixing Ratio [kg kg-1],"AERmon, Emon"
mmrdust,Dust Aerosol Mass Mixing Ratio [kg kg-1],AERmon
mmrnh4,NH4 Mass Mixing Ratio [kg kg-1],AERmon
mmrno3,NO3 Aerosol Mass Mixing Ratio [kg kg-1],"AERmon, Emon"
mmroa,Total Organic Aerosol Mass Mixing Ratio [kg kg-1],AERmon
mmrpm10,PM10 Mass Mixing Ratio [kg kg-1],AERmon
mmrpm1,PM1.0 Mass Mixing Ratio [kg kg-1],AERmon
mmrpm2p5,PM2.5 Mass Mixing Ratio [kg kg-1],AERmon
mmrso4,Aerosol Sulfate Mass Mixing Ratio [kg kg-1],AERmon
mmrsoa,Secondary Organic Aerosol Mass Mixing Ratio [kg kg-1],AERmon
mmrss,sea-salt aerosol Mass Mixing Ratio [kg kg-1],"AERmon, Emon"
mrfsofr,Average Layer Fraction of Frozen Moisture [1],Eday
mrfso,Soil Frozen Water Content [kg m-2],Lmon
mrlqso,Average Layer Fraction of Liquid Moisture [1],Eday
mrlso,Soil Liquid Water Content [kg m-2],Emon
mrrob,Subsurface Runoff [kg m-2 s-1],Eday
mrroIs,Ice Sheet Total Runoff [kg m-2 s-1],LImon
mrroLi,Land Ice Runoff Flux [kg m-2 s-1],"ImonAnt, ImonGre"
mrroLut,Total Runoff from Land-Use Tile [kg m-2 s-1],Emon
mrros,Surface Runoff [kg m-2 s-1],Lmon
mrro,Total Runoff [kg m-2 s-1],"3hr, Lmon, day"
mrsfl,Frozen Water Content of Soil Layer [kg m-2],"Eday, Emon"
mrsll,Liquid Water Content of Soil Layer [kg m-2],"Eday, Emon"
mrsofc,Capacity of Soil to Store Water (Field Capacity) [kg m-2],fx
mrsol,Total Water Content of Soil Layer [kg m-2],"6hrPlevPt, Eday, Emon"
mrsoLut,Total Soil Moisture [kg m-2],Emon
mrsosLut,Moisture in Upper Portion of Soil Column of Land-Use Tile [kg m-2],Emon
mrsos,Moisture in Upper Portion of Soil Column [kg m-2],"3hr, 6hrPlevPt, Lmon, day"
mrso,Total Soil Moisture Content [kg m-2],"Lmon, day"
mrtws,Terrestrial Water Storage [kg m-2],Emon
msftbarot,Ocean Barotropic Mass Streamfunction [kg s-1],Omon
msftmrhompa,Ocean Meridional Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection [kg s-1],Omon
msftmrho,Ocean Meridional Overturning Mass Streamfunction [kg s-1],Omon
msftmzmpa,Ocean Meridional Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection [kg s-1],Omon
msftmz,Ocean Meridional Overturning Mass Streamfunction [kg s-1],Omon
msftmzsmpa,Ocean Meridional Overturning Mass Streamfunction Due to Parameterized Submesoscale Advection [kg s-1],Omon
msftyrho,Ocean Y Overturning Mass Streamfunction [kg s-1],Omon
msftyzmpa,Ocean Y Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection [kg s-1],Omon
msftyz,Ocean Y Overturning Mass Streamfunction [kg s-1],Omon
msftyzsmpa,Ocean Y Overturning Mass Streamfunction Due to Parameterized Submesoscale Advection [kg s-1],Omon
n2oglobal,Global Mean Mole Fraction of N2O [1e-09],Amon
n2o,Mole Fraction of N2O [mol mol-1],"AERmon, AERmonZ, Amon"
nbp,Carbon Mass Flux out of Atmosphere Due to Net Biospheric Production on Land [kg m-2 s-1],Lmon
necbLut,Net Rate of Carbon Accumulation (or Loss) on Land-Use Tile [kg m-2 s-1],Emon
nep,Net Carbon Mass Flux out of Atmosphere due to Net Ecosystem Productivity on Land [kg m-2 s-1],Emon
netAtmosLandC13Flux,Net Mass Flux of 13C Between Atmosphere and Land (Positive into Land) as a Result of All Processes [kg m-2 s-1],Emon
netAtmosLandC14Flux,Net Mass Flux of 14C Between Atmosphere and Land (Positive into Land) as a Result of All Processes [kg m-2 s-1],Emon
netAtmosLandCO2Flux,Net Flux of CO2 Between Atmosphere and Land (Positive into Land) as a Result of All Processes [kg m-2 s-1],Emon
nh4,Dissolved Ammonium Concentration [mol m-3],"Omon, Oyr"
nh4os,Surface Dissolved Ammonium Concentration [mol m-3],Omon
nh50,Artificial Tracer with 50 Day Lifetime [mol mol-1],AERmon
nLand,Total Nitrogen in All Terrestrial Nitrogen Pools [kg m-2],Emon
nLeaf,Nitrogen Mass in Leaves [kg m-2],Emon
nLitterCwd,Nitrogen Mass in Coarse Woody Debris [kg m-2],Emon
nLitter,Nitrogen Mass in Litter Pool [kg m-2],Emon
nMineral,Mineral Nitrogen in the Soil [kg m-2],Emon
nMineralNH4,Mineral Ammonium in the Soil [kg m-2],Emon
nMineralNO3,Mineral Nitrate in the Soil [kg m-2],Emon
no2,NO2 Volume Mixing Ratio [mol mol-1],AERmon
no3,Dissolved Nitrate Concentration [mol m-3],"Omon, Oyr"
no3os,Surface Dissolved Nitrate Concentration [mol m-3],Omon
no,NO Volume Mixing Ratio [mol mol-1],AERmon
noy,Total Reactive Nitrogen Volume Mixing Ratio [mol mol-1],AERmonZ
npp,Carbon Mass Flux out of Atmosphere Due to Net Primary Production on Land [kg m-2 s-1],Lmon
nppGrass,Net Primary Production on Grass Tiles [kg m-2 s-1],Emon
nppLeaf,Carbon Mass Flux Due to NPP Allocation to Leaf [kg m-2 s-1],Lmon
nppLut,Net Primary Productivity on Land-Use Tile [kg m-2 s-1],Emon
nppOther,Net Primary Production Allocated to Other Pools (not Leaves Stem or Roots) [kg m-2 s-1],Emon
nppRoot,Carbon Mass Flux Due to NPP Allocation to Roots [kg m-2 s-1],Lmon
nppShrub,Net Primary Production on Shrub Tiles [kg m-2 s-1],Emon
nppStem,Net Primary Production Allocated to Stem [kg m-2 s-1],Emon
nppTree,Net Primary Production on Tree Tiles [kg m-2 s-1],Emon
nppWood,Carbon Mass Flux Due to NPP Allocation to Wood [kg m-2 s-1],Lmon
nProduct,Nitrogen Mass in Products of Land-Use Change [kg m-2],Emon
nRoot,Nitrogen Mass in Roots [kg m-2],Emon
nSoil,Nitrogen Mass in Soil Pool [kg m-2],Emon
nStem,Nitrogen Mass in Stem [kg m-2],Emon
nVeg,Nitrogen Mass in Vegetation [kg m-2],Emon
nwdFracLut,Non-Woody Vegetation Percentage Cover [%],Emon
o2,Dissolved Oxygen Concentration [mol m-3],"Omon, Oyr"
o2min,Oxygen Minimum Concentration [mol m-3],Omon
o2os,Surface Dissolved Oxygen Concentration [mol m-3],Omon
o2sat,Dissolved Oxygen Concentration at Saturation [mol m-3],"Omon, Oyr"
o2satos,Surface Dissolved Oxygen Concentration at Saturation [mol m-3],Omon
o3loss,O3 Destruction Rate [mol m-3 s-1],AERmon
o3,Mole Fraction of O3 [mol mol-1],"AERmon, AERmonZ, Amon, E3hrPt"
o3prod,O3 Production Rate [mol m-3 s-1],AERmon
o3ste,Stratospheric Ozone Tracer Volume Mixing Ratio [mol mol-1],AERmon
obvfsq,Square of Brunt Vaisala Frequency in Sea Water [s-2],Omon
ocfriver,Flux of Organic Carbon into Ocean Surface by Runoff [mol m-2 s-1],Omon
ocontempdiff,Tendency of Sea Water Conservative Temperature Expressed as Heat Content due to Parameterized Dianeutral Mixing [W m-2],"Emon, Oyr"
ocontemppadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Eddy Advection [W m-2],"Emon, Oyr"
ocontemppmdiff,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion [W m-2],"Emon, Oyr"
ocontemprmadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Residual Mean Advection [W m-2],"Emon, Oyr"
ocontemptend,Tendency of Sea Water Conservative Temperature Expressed as Heat Content [W m-2],"Emon, Oyr"
od440aer,Ambient Aerosol Optical Thickness at 440nm [1],AERmon
od443dust,Optical Thickness at 443nm Dust [1],Emon
od550aer,Ambient Aerosol Optical Thickness at 550nm [1],"AERday, AERmon"
od550aerh2o,Aerosol Water Optical Thickness at 550nm [1],AERmon
od550aerso,Stratospheric Optical Depth at 550nm (All Aerosols) 2D-Field (Stratosphere Only) [1],Emon
od550bb,Aerosol Optical Depth at 550nm Due to Biomass Burning [1],AERmon
od550bc,Black Carbon Optical Thickness at 550nm [1],AERmon
od550csaer,Ambient Aerosol Optical Thickness at 550nm [1],AERmon
od550dust,Dust Optical Thickness at 550nm [1],AERmon
od550lt1aer,Ambient Fine Aerosol Optical Depth at 550nm [1],AERmon
od550no3,Nitrate Aerosol Optical Depth at 550nm [1],AERmon
od550oa,Total Organic Aerosol Optical Depth at 550nm [1],AERmon
od550so4,Sulfate Aerosol Optical Depth at 550nm [1],AERmon
od550soa,Particulate Organic Aerosol Optical Depth at 550nm [1],AERmon
od550ss,Sea-Salt Aerosol Optical Depth at 550nm [1],AERmon
od865dust,Dust Optical Depth at 865nm [1],Emon
od870aer,Ambient Aerosol Optical Depth at 870nm [1],AERmon
oh,OH Volume Mixing Ratio [mol mol-1],"AERmon, AERmonZ"
omldamax,Mean Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme [m],Oday
opottempdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing [W m-2],"Emon, Oyr"
opottempmint,Integral with Respect to Depth of Product of Sea Water Density and Potential Temperature [degC kg m-2],"Emon, Oyr"
opottemppadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Eddy Advection [W m-2],"Emon, Oyr"
opottemppmdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion [W m-2],"Emon, Oyr"
opottemppsmadvect,Tendency of Sea water Potential Temperature Expressed as Heat Content Due to Parameterized Submesoscale Advection [W m-2],"Emon, Oyr"
opottemprmadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Residual Mean Advection [W m-2],"Emon, Oyr"
opottemptend,Tendency of Sea water Potential Temperature Expressed as Heat Content [W m-2],"Emon, Oyr"
orogIs,Ice Sheet Surface Altitude [m],LImon
orog,Surface Altitude [m],"Emon, ImonGre, fx"
osaltdiff,Tendency of Sea water Salinity Expressed as Salt Content Due to Parameterized Dianeutral Mixing [kg m-2 s-1],"Emon, Oyr"
osaltpadvect,Tendency of Sea water Salinity Expressed as Salt Content Due to Parameterized Eddy Advection [kg m-2 s-1],"Emon, Oyr"
osaltpmdiff,Tendency of Sea water Salinity Expressed as Salt Content Due to Parameterized Mesoscale Diffusion [kg m-2 s-1],"Emon, Oyr"
osaltpsmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Submesoscale Advection [kg m-2 s-1],"Emon, Oyr"
osaltrmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Residual Mean Advection [kg m-2 s-1],"Emon, Oyr"
osalttend,Tendency of Sea water Salinity Expressed as Salt Content [kg m-2 s-1],"Emon, Oyr"
oxloss,Total Odd Oxygen (Ox) Loss Rate [mol m-3 s-1],EmonZ
oxprod,Total Odd Oxygen (Ox) Production Rate [mol m-3 s-1],EmonZ
pan,PAN Volume Mixing Ratio [mol mol-1],AERmon
parag,Aragonite Production [mol m-3 s-1],Oyr
parasolRefl,PARASOL Reflectance [1],"E3hrPt, Eday, Emon"
pastureFracC3,C3 Pasture Area Percentage [%],Emon
pastureFracC4,C4 Pasture Area Percentage [%],Emon
pastureFrac,Percentage of Land Which Is Anthropogenic Pasture [%],Lmon
pathetao,Sea Water Additional Potential Temperature [degC],Emon
pbfe,Biogenic Iron Production [mol m-3 s-1],"Omon, Oyr"
pbo,Sea Water Pressure at Sea Floor [Pa],Omon
pbsi,Biogenic Silicon Production [mol m-3 s-1],"Omon, Oyr"
pcalc,Calcite Production [mol m-3 s-1],Oyr
pctisccp,ISCCP Mean Cloud Top Pressure [Pa],CFday
pfull,Pressure at Model Full-Levels [Pa],"6hrLev, AERmon, Amon, CF3hr, CFday, CFsubhr"
phabioos,Surface Abiotic pH [1],Omon
phalf,Pressure on Model Half-Levels [Pa],"AERmon, Amon, CF3hr, CFday"
phnatos,Surface Natural pH [1],Omon
phos,Surface pH [1],Omon
photo1d,"Photolysis Rate of Ozone (O3) to Excited Atomic Oxygen (the Singlet D State, O1D) [s-1]",AERmon
ph,pH [1],"Omon, Oyr"
phycalc,Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water [mol m-3],Omon
phycalcos,Surface Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water [mol m-3],Omon
phycos,Sea Surface Phytoplankton Carbon Concentration [mol m-3],"Oday, Omon"
phyc,Phytoplankton Carbon Concentration [mol m-3],"Omon, Oyr"
phydiat,Mole Concentration of Diatoms Expressed as Carbon in Sea Water [mol m-3],"Omon, Oyr"
phydiatos,Surface Mole Concentration of Diatoms Expressed as Carbon in Sea Water [mol m-3],Omon
phydiaz,Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water [mol m-3],"Omon, Oyr"
phydiazos,Surface Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water [mol m-3],Omon
phyfe,Mole Concentration of Total Phytoplankton expressed as Iron in sea water [mol m-3],"Omon, Oyr"
phyfeos,Surface Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water [mol m-3],Omon
phymisc,Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water [mol m-3],"Omon, Oyr"
phymiscos,Surface Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water [mol m-3],Omon
phyn,Mole Concentration of Total Phytoplankton expressed as Nitrogen in sea water [mol m-3],"Omon, Oyr"
phynos,Surface Mole Concentration of Phytoplankton Nitrogen in Sea Water [mol m-3],Omon
phypico,Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water [mol m-3],"Omon, Oyr"
phypicoos,Surface Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water [mol m-3],Omon
phyp,Mole Concentration of Total Phytoplankton expressed as Phosphorus in sea water [mol m-3],"Omon, Oyr"
phypos,Surface Mole Concentration of Total Phytoplankton Expressed as Phosphorus in Sea Water [mol m-3],Omon
physi,Mole Concentration of Total Phytoplankton expressed as Silicon in sea water [mol m-3],"Omon, Oyr"
physios,Surface Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water [mol m-3],Omon
pnitrate,Primary Carbon Production by Phytoplankton Due to Nitrate Uptake Alone [mol m-3 s-1],"Omon, Oyr"
po4os,Surface Total Dissolved Inorganic Phosphorus Concentration [mol m-3],Omon
po4,Total Dissolved Inorganic Phosphorus Concentration [mol m-3],"Omon, Oyr"
pon,Mole Concentration of Particulate Organic Matter expressed as Nitrogen in sea water [mol m-3],"Omon, Oyr"
ponos,Surface Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water [mol m-3],Omon
pop,Mole Concentration of Particulate Organic Matter expressed as Phosphorus in sea water [mol m-3],"Omon, Oyr"
popos,Surface Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water [mol m-3],Omon
ppdiat,Net Primary Organic Carbon Production by Diatoms [mol m-3 s-1],"Emon, Oyr"
ppdiaz,Net Primary Mole Productivity of Carbon by Diazotrophs [mol m-3 s-1],"Emon, Oyr"
ppmisc,Net Primary Organic Carbon Production by Other Phytoplankton [mol m-3 s-1],"Emon, Oyr"
ppos,Primary Carbon Production by Phytoplankton [mol m-3 s-1],Omon
pppico,Net Primary Mole Productivity of Carbon by Picophytoplankton [mol m-3 s-1],Oyr
pp,Primary Carbon Production by Phytoplankton [mol m-3 s-1],"Omon, Oyr"
prc,Convective Precipitation [kg m-2 s-1],"3hr, Amon, CF3hr, CFsubhr, E1hr, day"
prcprof,Convective Rainfall Flux [kg m-2 s-1],CF3hr
prhmax,Maximum Hourly Precipitation Rate [kg m-2 s-1],"6hrPlev, Eday, Emon"
prlsns,Stratiform Snowfall Flux [kg m-2 s-1],CF3hr
pr,Precipitation [kg m-2 s-1],"3hr, 6hrPlev, Amon, CF3hr, CFsubhr, E1hr, day"
prraIs,Ice Sheet Rainfall Rate [kg m-2 s-1],LImon
prra,Rainfall Flux [kg m-2 s-1],"E3hr, ImonAnt, ImonGre, Omon"
prrc,Convective Rainfall Rate [kg m-2 s-1],E3hr
prsnc,Convective Snowfall Flux [kg m-2 s-1],CF3hr
prsnIs,Ice Sheet Snowfall Flux [kg m-2 s-1],LImon
prsn,Snowfall Flux [kg m-2 s-1],"3hr, Amon, CFsubhr, Omon, day"
prveg,Precipitation onto Canopy [kg m-2 s-1],"Eday, Lmon"
prw,Water Vapor Path [kg m-2],"Amon, CF3hr, CFsubhr, E3hr, Eday"
psitem,Transformed Eulerian Mean Mass Streamfunction [kg s-1],EdayZ
psl,Sea Level Pressure [Pa],"6hrPlev, 6hrPlevPt, Amon, CF3hr, E3hr, day"
pso,Sea Water Pressure at Sea Water Surface [Pa],Omon
ps,Surface Air Pressure [Pa],"3hr, 6hrLev, AERhr, AERmon, Amon, CFday, CFmon, CFsubhr, Emon"
ptp,Tropopause Air Pressure [Pa],AERmon
qgwr,Groundwater Recharge from Soil Layer [kg m-2 s-1],Eday
rac13,Mass Flux of 13C into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kg m-2 s-1],Emon
rac14,Mass Flux of 14C into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kg m-2 s-1],Emon
ra,Carbon Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kg m-2 s-1],"E3hr, Lmon"
raGrass,Autotrophic Respiration on Grass Tiles [kg m-2 s-1],Emon
rainmxrat,Mass Fraction of Rain in Air [1],Emon
raLeaf,Total Respiration from Leaves [kg m-2 s-1],Emon
raLut,Plant Respiration on Land-Use Tile [kg m-2 s-1],Emon
raRoot,Total Respiration from Roots [kg m-2 s-1],Emon
raShrub,Autotrophic Respiration on Shrub Tiles [kg m-2 s-1],Emon
raTree,Autotrophic Respiration on Tree Tiles [kg m-2 s-1],Emon
reffclic,Hydrometeor Effective Radius of Convective Cloud Ice [m],Emon
reffclis,Hydrometeor Effective Radius of Stratiform Cloud Ice [m],"CF3hr, Emon"
reffclwc,Convective Cloud Liquid Droplet Effective Radius [m],Emon
